"","SubID","trial_num","pUP","stock_outcome","Advisor","Advice","AdvisorCorrect","choice","outcome","rt","tally"
"1",1,1,0.512300386326388,1,1,-1,0,1,1,3555,37
"2",1,2,0.505961421741707,1,2,1,1,1,1,2272,38
"3",1,3,0.527647414203337,NA,3,NA,NA,NA,NA,NA,39
"4",1,4,0.491629077440749,-1,2,1,0,1,-1,2958,38
"5",1,5,0.529324032795991,1,1,1,1,1,1,1779,39
"6",1,6,0.382917400135619,NA,3,NA,NA,NA,NA,NA,40
"7",1,7,0.495533893136178,1,1,1,1,1,1,1638,41
"8",1,8,0.381510158599799,NA,3,NA,NA,NA,NA,NA,40
"9",1,9,0.340894379812198,NA,2,NA,NA,NA,NA,NA,39
"10",1,10,0.284299316254112,NA,3,NA,NA,NA,NA,NA,40
"11",1,11,0.312072605546211,1,1,1,1,1,1,1523,41
"12",1,12,0.269679614921789,NA,2,NA,NA,NA,NA,NA,42
"13",1,13,0.21626707142944,-1,1,1,0,1,-1,2478,41
"14",1,14,0.24845018187373,-1,2,1,0,1,-1,1905,40
"15",1,15,0.106732939156943,NA,3,NA,NA,NA,NA,NA,41
"16",1,16,0.106919429922732,-1,2,1,0,1,-1,2038,40
"17",1,17,0.223972210033294,NA,1,NA,NA,NA,NA,NA,41
"18",1,18,0.313187211777257,NA,3,NA,NA,NA,NA,NA,40
"19",1,19,0.254177623329533,-1,1,1,0,1,-1,1550,39
"20",1,20,0.242281823919443,1,3,-1,0,1,1,1644,40
"21",1,21,0.223246202974816,NA,3,NA,NA,NA,NA,NA,39
"22",1,22,0.289948345193539,NA,1,NA,NA,NA,NA,NA,40
"23",1,23,0.343430723520693,-1,2,1,0,1,-1,1611,39
"24",1,24,0.421412157724203,1,1,1,1,1,1,1534,40
"25",1,25,0.414682456964584,1,3,-1,0,1,1,2295,41
"26",1,26,0.395370469369147,1,2,-1,0,1,1,2087,42
"27",1,27,0.327488049042607,-1,3,1,0,1,-1,2190,41
"28",1,28,0.464139950719539,NA,2,NA,NA,NA,NA,NA,42
"29",1,29,0.631942528739696,NA,1,NA,NA,NA,NA,NA,43
"30",1,30,0.511360577157215,NA,2,NA,NA,NA,NA,NA,42
"31",1,31,0.617983184740414,NA,3,NA,NA,NA,NA,NA,43
"32",1,32,0.638194036457755,NA,1,NA,NA,NA,NA,NA,44
"33",1,33,0.547681848669499,1,3,-1,0,1,1,2095,45
"34",1,34,0.64038782596222,1,1,1,1,1,1,1990,46
"35",1,35,0.668480059245592,1,2,1,1,1,1,1791,47
"36",1,36,0.655312969143298,-1,1,-1,1,1,-1,2528,46
"37",1,37,0.659293563685357,NA,3,NA,NA,NA,NA,NA,45
"38",1,38,0.623140791386516,NA,2,NA,NA,NA,NA,NA,44
"39",1,39,0.668266731286299,1,3,-1,0,1,1,1725,45
"40",1,40,0.560904519089329,NA,2,NA,NA,NA,NA,NA,46
"41",1,41,0.538405018264884,-1,2,1,0,1,-1,2417,45
"42",1,42,0.633940404599506,1,3,-1,0,1,1,1792,46
"43",1,43,0.736126477765379,-1,1,1,0,1,-1,1855,45
"44",1,44,0.763747713893664,1,3,-1,0,1,1,2066,46
"45",1,45,0.781280585668471,1,2,1,1,1,1,1939,47
"46",1,46,0.879434876985035,NA,1,NA,NA,NA,NA,NA,46
"47",1,47,0.886047085917824,1,2,1,1,1,1,1903,47
"48",1,48,0.854542561509214,1,1,1,1,1,1,1891,48
"49",1,49,0.878549490820419,-1,3,-1,1,1,-1,1912,47
"50",1,50,0.697654176791882,1,1,1,1,1,1,2864,48
"51",1,51,0.798406524060794,-1,2,-1,1,1,-1,1606,47
"52",1,52,0.797613765511448,1,3,-1,0,1,1,2052,48
"53",1,53,0.884601995047612,-1,2,1,0,1,-1,1745,47
"54",1,54,0.894706462398929,1,3,-1,0,1,1,1608,48
"55",1,55,0.878744794483249,1,1,1,1,1,1,1898,49
"56",1,56,0.736099294169307,NA,3,NA,NA,NA,NA,NA,48
"57",1,57,0.540620103406903,1,2,1,1,1,1,2732,49
"58",1,58,0.621394949104809,1,1,1,1,1,1,1916,50
"59",1,59,0.713971223350081,NA,2,NA,NA,NA,NA,NA,49
"60",1,60,0.702579408569062,1,1,1,1,1,1,2604,50
"61",2,1,0.557952759042382,1,2,1,1,1,1,4592,25
"62",2,2,0.595546792939512,NA,3,NA,NA,NA,NA,NA,24
"63",2,3,0.708743227681911,NA,1,NA,NA,NA,NA,NA,25
"64",2,4,0.751101726631186,NA,3,NA,NA,NA,NA,NA,26
"65",2,5,0.823018647494706,NA,2,NA,NA,NA,NA,NA,25
"66",2,6,0.825828346274213,NA,1,NA,NA,NA,NA,NA,26
"67",2,7,0.88753417540723,NA,2,NA,NA,NA,NA,NA,25
"68",2,8,0.840103510176317,1,1,1,1,1,1,1792,26
"69",2,9,0.84241470563821,NA,3,NA,NA,NA,NA,NA,27
"70",2,10,0.739873794526469,1,1,1,1,1,1,1768,28
"71",2,11,0.790473317284427,1,2,-1,0,1,1,1921,29
"72",2,12,0.811424626116714,-1,3,-1,1,1,-1,2056,28
"73",2,13,0.762794540124101,NA,2,NA,NA,NA,NA,NA,27
"74",2,14,0.658483413001466,1,3,-1,0,1,1,1912,28
"75",2,15,0.738209509153417,1,1,1,1,1,1,1832,29
"76",2,16,0.687099603766183,1,3,-1,0,1,1,1904,30
"77",2,17,0.693539888999102,NA,2,NA,NA,NA,NA,NA,29
"78",2,18,0.645753003189842,NA,1,NA,NA,NA,NA,NA,28
"79",2,19,0.691230641125469,NA,2,NA,NA,NA,NA,NA,29
"80",2,20,0.680418367063815,NA,1,NA,NA,NA,NA,NA,28
"81",2,21,0.682815891770441,1,1,1,1,1,1,1928,29
"82",2,22,0.712220730050502,1,2,1,1,1,1,1954,30
"83",2,23,0.708938092011114,1,3,-1,0,1,1,1840,31
"84",2,24,0.57107648178976,1,2,-1,0,1,1,2000,32
"85",2,25,0.433670630273241,-1,1,1,0,1,-1,2266,31
"86",2,26,0.566975473200979,NA,3,NA,NA,NA,NA,NA,30
"87",2,27,0.496273811071107,NA,1,NA,NA,NA,NA,NA,31
"88",2,28,0.563433861792671,NA,3,NA,NA,NA,NA,NA,32
"89",2,29,0.474229860104636,NA,2,NA,NA,NA,NA,NA,33
"90",2,30,0.416072715895017,1,3,-1,0,1,1,1889,34
"91",2,31,0.40813506237644,NA,1,NA,NA,NA,NA,NA,33
"92",2,32,0.362188366846952,-1,2,1,0,1,-1,2024,32
"93",2,33,0.424502834964328,NA,1,NA,NA,NA,NA,NA,33
"94",2,34,0.430723273612829,1,2,1,1,1,1,2273,34
