"","SubID","trial_num","pUP","stock_outcome","Advisor","AdvisorCorrect","choice","outcome","rt","tally"
"1377",28,57,0.266137601689234,-1,1,1,1,1,332,11
"1378",28,58,0.203031242101021,-1,3,0,0,1,1060,12
"1379",28,59,0.365379331360846,-1,1,1,1,1,772,13
"1380",28,60,0.343348676714723,-1,3,0,0,1,709,14
"1381",29,1,0.591726696006939,1,1,1,1,1,2123,13
"1382",29,2,0.622358968744724,-1,2,1,1,1,1522,14
"1383",29,3,0.631504529639094,1,3,0,0,1,1353,15
"1384",29,4,0.666417877001577,1,2,0,1,-1,1106,14
"1385",29,5,0.701582378138606,-1,1,0,1,-1,746,13
"1386",29,6,0.608623052417774,1,3,0,1,-1,613,12
"1387",29,7,0.541923728446299,1,1,1,1,1,2544,13
"1388",29,8,0.51411133692088,-1,3,1,1,1,937,14
"1389",29,9,0.470336248329827,1,2,0,1,-1,1036,13
"1390",29,10,0.524439998628842,-1,3,0,1,-1,1307,12
"1391",29,11,0.549821504316245,-1,1,0,1,-1,506,11
"1392",29,12,0.578300023902062,-1,2,0,0,1,3400,12
"1393",29,13,0.445897413725635,-1,1,1,0,-1,599,11
"1394",29,14,0.260630330967321,1,2,1,0,-1,388,10
"1395",29,15,0.225507033375921,-1,3,0,0,1,1005,11
"1396",29,16,0.233778780539208,-1,2,0,1,-1,396,10
"1397",29,17,0.227847387565544,-1,1,0,0,1,101,11
"1398",29,18,0.206070350484446,NA,3,NA,NA,NA,NA,11
"1399",29,19,0.181355299298065,-1,1,1,0,-1,977,10
"1400",29,20,0.241454484871766,1,3,0,1,-1,466,9
"1401",29,21,0.288318234479271,-1,2,1,1,1,313,10
"1402",29,22,0.206714657925915,-1,3,1,0,-1,725,9
"1403",29,23,0.169527940914867,-1,1,1,1,1,346,10
"1404",29,24,0.115093593090501,-1,3,0,1,-1,680,9
"1405",29,25,0.171765336054991,-1,2,1,1,1,1529,10
"1406",29,26,0.236766903283072,1,1,1,1,1,725,11
"1407",29,27,0.253290661774679,-1,2,0,1,-1,757,10
"1408",29,28,0.253442420421108,1,1,0,1,-1,611,9
"1409",29,29,0.192778833954635,-1,3,1,0,-1,808,8
"1410",29,30,0.148570785618294,NA,1,NA,NA,NA,NA,8
"1411",29,31,0.125073338912683,-1,2,1,1,1,410,9
"1412",29,32,0.152029334651703,-1,3,0,1,-1,430,8
"1413",29,33,0.211164585334548,-1,2,1,1,1,457,9
"1414",29,34,0.239821190397577,-1,3,0,0,1,449,10
"1415",29,35,0.445004446474241,1,1,1,1,1,424,11
"1416",29,36,0.353818006090821,-1,3,0,0,1,566,12
"1417",29,37,0.580027063056746,1,2,0,1,-1,2601,11
"1418",29,38,0.613185722257134,1,1,1,1,1,660,12
"1419",29,39,0.593119166767134,1,2,1,1,1,1691,13
"1420",29,40,0.621789215532374,-1,1,1,1,1,537,14
"1421",29,41,0.656663314809113,NA,3,NA,NA,NA,NA,14
"1422",29,42,0.725401342488312,1,1,1,1,1,851,15
"1423",29,43,0.63381451810431,1,2,0,1,-1,2845,14
"1424",29,44,0.593600493407209,-1,1,1,1,1,3447,15
"1425",29,45,0.623873412150241,1,3,0,0,1,2475,16
"1426",29,46,0.734651667011737,1,2,0,1,-1,4367,15
"1427",29,47,0.666590685729188,-1,3,0,0,1,4808,16
"1428",29,48,0.708154820133161,1,2,0,1,-1,706,15
"1429",29,49,0.641794194454809,1,1,1,1,1,568,16
"1430",29,50,0.846505262284625,-1,2,1,0,-1,472,15
"1431",29,51,0.830311462560329,1,3,1,0,-1,610,14
"1432",29,52,0.860152394401933,1,1,1,1,1,526,15
"1433",29,53,0.774908853128456,1,3,0,0,1,1135,16
"1434",29,54,0.723535908833809,1,1,0,1,-1,714,15
"1435",29,55,0.709802333026304,-1,2,1,0,-1,1088,14
"1436",29,56,0.559118783159109,-1,1,1,1,1,619,15
"1437",29,57,0.438978284571772,-1,3,1,0,-1,555,14
"1438",29,58,0.289134621914099,-1,2,0,0,1,1198,15
"1439",29,59,0.326931299279353,1,3,0,0,1,816,16
"1440",29,60,0.381559106290541,1,2,1,1,1,1027,17
"1441",30,1,0.409685085248202,1,2,0,1,-1,1276,-3
"1442",30,2,0.409149403142549,1,3,0,1,-1,918,-4
"1443",30,3,0.415323277379004,1,1,1,1,1,1144,-3
"1444",30,4,0.535691995188287,-1,3,0,0,1,945,-2
"1445",30,5,0.587640039860478,-1,2,0,0,1,808,-1
"1446",30,6,0.664190860261334,1,1,1,1,1,760,0
"1447",30,7,0.550301234418932,-1,2,1,0,-1,908,-1
"1448",30,8,0.64854795058284,-1,1,1,1,1,1258,0
"1449",30,9,0.619457037897284,1,3,0,0,1,1235,1
"1450",30,10,0.786484142895303,-1,1,1,1,1,885,2
"1451",30,11,0.83363986657059,1,2,0,0,1,1038,3
"1452",30,12,0.860542315075057,1,3,0,0,1,1032,4
"1453",30,13,0.82375165789582,1,2,0,0,1,902,5
"1454",30,14,0.843187267565899,1,3,0,0,1,671,6
"1455",30,15,0.814675088086263,1,1,1,1,1,1060,7
"1456",30,16,0.829270433759183,1,3,0,0,1,1947,8
"1457",30,17,0.863466721278493,1,2,1,0,-1,697,7
"1458",30,18,0.867644314884355,-1,1,1,1,1,747,8
"1459",30,19,0.851139259615163,1,2,1,0,-1,759,7
"1460",30,20,0.845306295861396,-1,1,1,1,1,718,8
"1461",30,21,0.890866302144037,1,1,1,1,1,934,9
"1462",30,22,0.849895795618951,1,2,0,1,-1,1469,8
"1463",30,23,0.809173004593418,1,3,0,0,1,850,9
"1464",30,24,0.766582042404782,1,2,1,0,-1,678,8
"1465",30,25,0.659968385778687,-1,1,1,1,1,666,9
"1466",30,26,0.641199549759821,1,3,1,0,-1,944,8
"1467",30,27,0.622464367152038,1,1,1,1,1,916,9
"1468",30,28,0.503577914763276,-1,3,0,1,-1,1343,8
"1469",30,29,0.528758683163251,1,2,0,0,1,2017,9
"1470",30,30,0.507697138654705,-1,3,1,0,-1,678,8
"1471",30,31,0.527900592867289,-1,1,0,1,-1,642,7
"1472",30,32,0.350618695434308,-1,2,1,0,-1,3338,6
"1473",30,33,0.437417727465287,-1,1,0,1,-1,673,5
"1474",30,34,0.469103371519444,1,2,0,0,1,1100,6
"1475",30,35,0.463672560157886,-1,3,1,0,-1,1026,5
"1476",30,36,0.360679597137169,-1,2,1,0,-1,1604,4
"1477",30,37,0.371203595945641,-1,1,0,1,-1,2703,3
"1478",30,38,0.332738891610446,-1,3,0,0,1,813,4
"1479",30,39,0.252758246995764,-1,1,0,1,-1,649,3
"1480",30,40,0.198330215254163,NA,3,NA,NA,NA,NA,3
"1481",30,41,0.180122137077093,1,3,0,0,1,1486,4
"1482",30,42,0.145860495454649,-1,1,0,1,-1,642,3
"1483",30,43,0.153172641587245,1,2,1,0,-1,970,2
"1484",30,44,0.21354316114596,-1,1,1,1,1,609,3
"1485",30,45,0.194520871943584,-1,3,0,0,1,524,4
"1486",30,46,0.249650905992678,-1,2,1,0,-1,763,3
"1487",30,47,0.238244662301626,-1,3,0,0,1,1053,4
"1488",30,48,0.199385186258111,-1,2,0,0,1,547,5
"1489",30,49,0.117746856661772,-1,1,1,1,1,650,6
"1490",30,50,0.153959638759596,-1,2,0,0,1,505,7
"1491",30,51,0.116243055729217,-1,3,0,0,1,2282,8
"1492",30,52,0.154900864871384,-1,1,1,1,1,843,9
"1493",30,53,0.152388299318196,-1,3,1,0,-1,777,8
"1494",30,54,0.218080690299025,-1,1,1,1,1,536,9
"1495",30,55,0.142803791441903,-1,2,1,0,-1,470,8
"1496",30,56,0.276636973719416,-1,1,1,1,1,476,9
"1497",30,57,0.279364227421055,NA,3,NA,NA,NA,NA,9
"1498",30,58,0.225147345102619,-1,2,1,0,-1,1219,8
"1499",30,59,0.187393250190758,1,3,0,0,1,657,9
"1500",30,60,0.198492663290153,-1,2,0,0,1,607,10
"1501",31,1,0.532887848932296,1,3,0,1,-1,1764,6
"1502",31,2,0.617442005330936,-1,1,1,1,1,1816,7
"1503",31,3,0.696539230321405,1,2,1,0,-1,1709,6
"1504",31,4,0.700499125475896,1,1,1,1,1,902,7
"1505",31,5,0.644735276306092,-1,3,0,0,1,1360,8
"1506",31,6,0.580684940832452,-1,2,1,1,1,1254,9
"1507",31,7,0.626149386804729,1,3,0,0,1,1041,10
"1508",31,8,0.704162945970545,-1,2,0,1,-1,1546,9
"1509",31,9,0.762659988166894,-1,1,0,1,-1,834,8
"1510",31,10,0.719183423979206,1,2,1,1,1,1097,9
"1511",31,11,0.6397295268739,-1,3,1,0,-1,1032,8
"1512",31,12,0.583872255765093,1,1,1,1,1,743,9
"1513",31,13,0.703480167592473,1,3,0,1,-1,1202,8
"1514",31,14,0.777470675545907,1,1,1,1,1,829,9
"1515",31,15,0.847227960209136,1,2,1,1,1,1030,10
"1516",31,16,0.858617852622008,1,1,1,1,1,761,11
"1517",31,17,0.857947385018371,-1,3,0,0,1,766,12
"1518",31,18,0.842676617893746,1,2,0,1,-1,831,11
"1519",31,19,0.813340174361443,1,3,0,0,1,867,12
"1520",31,20,0.734922205449884,-1,2,0,1,-1,2717,11
"1521",31,21,0.755869679688086,-1,1,0,1,-1,492,10
"1522",31,22,0.876619850595176,1,2,0,0,1,835,11
"1523",31,23,0.840157225266187,-1,3,0,0,1,567,12
"1524",31,24,0.763535217093018,1,2,1,0,-1,835,11
"1525",31,25,0.679931287845836,1,1,1,1,1,843,12
"1526",31,26,0.641367564704389,1,3,0,0,1,699,13
"1527",31,27,0.541352887171185,-1,1,1,1,1,764,14
"1528",31,28,0.469432522104042,-1,3,0,0,1,1021,15
"1529",31,29,0.424916879097,1,2,0,1,-1,2004,14
"1530",31,30,0.420256190332307,1,3,1,0,-1,2410,13
"1531",31,31,0.410678567005922,-1,1,1,1,1,477,14
"1532",31,32,0.50103648851589,-1,2,1,0,-1,963,13
"1533",31,33,0.403260422489838,1,1,1,1,1,778,14
"1534",31,34,0.405362463043011,-1,2,1,1,1,825,15
"1535",31,35,0.410866376490299,1,3,0,0,1,600,16
"1536",31,36,0.520815851675014,1,2,0,1,-1,1137,15
"1537",31,37,0.485016901273655,-1,1,0,1,-1,737,14
"1538",31,38,0.479022169420784,-1,3,0,0,1,790,15
"1539",31,39,0.492973721425891,-1,1,1,1,1,760,16
"1540",31,40,0.37714351947091,1,3,1,0,-1,802,15
"1541",31,41,0.294928519400771,-1,2,0,1,-1,753,14
"1542",31,42,0.380281094946232,-1,3,0,0,1,754,15
"1543",31,43,0.367249458090061,-1,1,0,1,-1,403,14
"1544",31,44,0.346535667284453,-1,3,1,1,1,1424,15
"1545",31,45,0.23094784563013,-1,2,1,0,-1,1313,14
"1546",31,46,0.210994156640684,1,1,0,1,-1,475,13
"1547",31,47,0.304721033423517,-1,2,0,1,-1,872,12
"1548",31,48,0.215912982845815,1,1,1,1,1,677,13
"1549",31,49,0.129811830299418,-1,3,1,0,-1,770,12
"1550",31,50,0.103524372588732,-1,1,1,1,1,657,13
"1551",31,51,0.162928175952639,-1,2,1,0,-1,1471,12
"1552",31,52,0.166470993570055,-1,3,0,0,1,842,13
"1553",31,53,0.213526484570375,-1,2,0,1,-1,1424,12
"1554",31,54,0.215378954970223,-1,3,0,0,1,770,13
"1555",31,55,0.104638110186194,-1,1,1,1,1,639,14
"1556",31,56,0.120338284191053,-1,3,0,0,1,762,15
"1557",31,57,0.109781295428156,-1,2,1,0,-1,709,14
"1558",31,58,0.111343880483972,-1,1,1,1,1,733,15
"1559",31,59,0.108966455041641,-1,2,0,1,-1,1045,14
"1560",31,60,0.339718533813282,-1,1,1,0,-1,338,13
"1561",32,1,0.506330094052071,-1,3,0,1,-1,4622,-15
"1562",32,2,0.512256346387988,-1,1,0,1,-1,1380,-16
"1563",32,3,0.464638120784054,1,2,1,1,1,2475,-15
"1564",32,4,0.63670067782514,1,1,1,1,1,3117,-14
"1565",32,5,0.647504577589966,-1,3,1,0,-1,835,-15
"1566",32,6,0.703175269530058,1,2,1,0,-1,2649,-16
"1567",32,7,0.679674797577797,1,3,1,0,-1,1993,-17
"1568",32,8,0.6715740684473,-1,2,0,1,-1,1723,-18
"1569",32,9,0.64303665875448,1,1,0,1,-1,1296,-19
"1570",32,10,0.655381261630369,-1,2,1,0,-1,1141,-20
"1571",32,11,0.510226366869554,1,3,0,1,-1,2719,-21
"1572",32,12,0.457625973343508,1,1,1,1,1,1836,-20
"1573",32,13,0.352061822105546,1,3,0,0,1,956,-19
"1574",32,14,0.445464770000494,-1,1,0,1,-1,1843,-20
"1575",32,15,0.433230509562471,-1,2,1,1,1,1765,-19
"1576",32,16,0.375995826548791,-1,1,1,0,-1,1264,-20
"1577",32,17,0.365578041552884,1,3,1,0,-1,1298,-21
"1578",32,18,0.32441817775337,-1,2,1,0,-1,2657,-22
"1579",32,19,0.318736835583654,1,3,0,1,-1,1071,-23
"1580",32,20,0.389304931153563,1,2,1,1,1,475,-22
"1581",32,21,0.322074417831948,1,1,1,1,1,1376,-21
"1582",32,22,0.234914514886645,-1,2,1,0,-1,1127,-22
"1583",32,23,0.210376618881566,1,3,0,0,1,1450,-21
"1584",32,24,0.14391875595284,-1,2,0,1,-1,2926,-22
"1585",32,25,0.295361057142599,-1,1,1,1,1,2289,-21
"1586",32,26,0.398067183895811,-1,3,0,0,1,1597,-20
"1587",32,27,0.469111489857873,-1,1,1,1,1,1833,-19
"1588",32,28,0.498203747510097,-1,3,0,0,1,1931,-18
"1589",32,29,0.469703314241243,1,2,0,1,-1,1737,-19
"1590",32,30,0.417680380374304,1,3,0,1,-1,1261,-20
"1591",32,31,0.56598759662372,-1,1,1,0,-1,2146,-21
"1592",32,32,0.379970799304704,1,2,1,1,1,1161,-20
"1593",32,33,0.453914844601902,1,1,0,1,-1,1506,-21
"1594",32,34,0.475150272623593,1,2,0,0,1,3109,-20
"1595",32,35,0.394015802911003,1,3,0,1,-1,1584,-21
"1596",32,36,0.382844020629973,1,2,0,0,1,3465,-20
"1597",32,37,0.402173172519772,-1,1,1,1,1,1314,-19
"1598",32,38,0.359723315681064,-1,3,0,1,-1,2637,-20
"1599",32,39,0.214714343067004,-1,1,1,1,1,1569,-19
"1600",32,40,0.280856358310905,1,3,1,0,-1,1923,-20
"1601",32,41,0.387190772254096,1,2,0,0,1,1411,-19
"1602",32,42,0.524676180657753,1,3,0,1,-1,1468,-20
"1603",32,43,0.442401291734525,-1,1,1,1,1,2436,-19
"1604",32,44,0.462111000191551,-1,3,0,0,1,1048,-18
"1605",32,45,0.430381617343496,-1,2,0,0,1,1281,-17
"1606",32,46,0.458821138732795,-1,1,1,1,1,1084,-16
"1607",32,47,0.495084649498908,1,2,0,1,-1,1168,-17
"1608",32,48,0.635117021599633,1,1,1,1,1,1387,-16
"1609",32,49,0.72244256710979,-1,3,0,0,1,1793,-15
"1610",32,50,0.767179581482694,1,1,0,0,1,1329,-14
"1611",32,51,0.794760325331061,-1,2,0,0,1,1543,-13
"1612",32,52,0.778678495807286,1,3,1,1,1,1794,-12
"1613",32,53,0.882440978357807,1,2,1,1,1,2522,-11
"1614",32,54,0.839673977395956,1,3,0,0,1,2264,-10
"1615",32,55,0.829087758162336,1,1,1,1,1,1767,-9
"1616",32,56,0.839964162564575,1,3,0,1,-1,1332,-10
"1617",32,57,0.884111386177846,1,2,0,0,1,2497,-9
"1618",32,58,0.897570847344456,1,1,1,1,1,1398,-8
"1619",32,59,0.802683665169687,1,2,1,0,-1,1528,-9
"1620",32,60,0.807557512916059,1,1,1,0,-1,1695,-10
"1621",33,1,0.445695332624018,-1,2,0,0,1,1169,7
"1622",33,2,0.557226263469078,1,3,0,0,1,464,8
"1623",33,3,0.534113562468362,1,1,1,0,-1,399,7
"1624",33,4,0.50816504743142,1,3,0,0,1,898,8
"1625",33,5,0.570938096487741,1,2,1,0,-1,404,7
"1626",33,6,0.52904945396709,1,1,1,1,1,860,8
"1627",33,7,0.516084628143219,1,2,1,1,1,865,9
"1628",33,8,0.503733815452738,-1,1,0,1,-1,737,8
"1629",33,9,0.43170245331956,-1,3,1,0,-1,861,7
"1630",33,10,0.326251485041851,1,1,0,1,-1,859,6
"1631",33,11,0.355228346687094,1,2,1,1,1,937,7
"1632",33,12,0.45115392577065,1,3,0,0,1,1036,8
"1633",33,13,0.343710957155173,1,2,1,1,1,957,9
"1634",33,14,0.367967747621978,-1,3,1,0,-1,1125,8
"1635",33,15,0.439174105598226,-1,1,1,1,1,583,9
"1636",33,16,0.342068941697357,-1,3,0,0,1,879,10
"1637",33,17,0.263109391208456,-1,2,0,1,-1,659,9
"1638",33,18,0.301278393337087,-1,1,1,1,1,814,10
"1639",33,19,0.331728465406012,1,2,1,1,1,920,11
"1640",33,20,0.325411474854872,-1,1,1,1,1,663,12
"1641",33,21,0.391917841970946,-1,1,1,1,1,936,13
"1642",33,22,0.458408567544218,-1,2,1,1,1,778,14
"1643",33,23,0.423579712846535,1,3,0,0,1,820,15
"1644",33,24,0.496387816481033,-1,2,1,1,1,691,16
"1645",33,25,0.675285922390781,1,1,1,1,1,820,17
"1646",33,26,0.788960251965249,-1,3,1,0,-1,793,16
"1647",33,27,0.71152042429356,1,1,0,1,-1,658,15
"1648",33,28,0.648415903878688,-1,3,0,0,1,796,16
"1649",33,29,0.562818517757014,1,2,1,1,1,666,17
"1650",33,30,0.662254213353837,-1,3,1,0,-1,706,16
"1651",33,31,0.614993516836899,1,1,0,1,-1,881,15
"1652",33,32,0.418241924269646,1,2,0,1,-1,754,14
"1653",33,33,0.430807733896415,-1,1,1,1,1,801,15
"1654",33,34,0.278687702029245,1,2,0,1,-1,590,14
"1655",33,35,0.286685647421717,-1,3,0,0,1,624,15
"1656",33,36,0.337996192465687,1,2,0,1,-1,310,14
"1657",33,37,0.359833852445145,-1,1,0,1,-1,771,13
"1658",33,38,0.356738920264927,-1,3,0,0,1,620,14
"1659",33,39,0.505324202384524,-1,1,1,1,1,843,15
"1660",33,40,0.561446406095194,1,3,0,0,1,945,16
"1661",33,41,0.566215004747871,-1,3,0,0,1,805,17
"1662",33,42,0.645029909553441,1,1,1,1,1,864,18
"1663",33,43,0.686937339236995,1,2,0,1,-1,532,17
"1664",33,44,0.840639751486693,1,1,1,1,1,664,18
"1665",33,45,0.779946361509808,1,3,0,0,1,560,19
"1666",33,46,0.833921653255595,-1,2,1,1,1,574,20
"1667",33,47,0.815911237824416,1,3,0,0,1,1284,21
"1668",33,48,0.834925200550317,1,2,0,1,-1,676,20
"1669",33,49,0.791079979120591,1,1,1,1,1,722,21
"1670",33,50,0.814454847946254,1,2,0,1,-1,729,20
"1671",33,51,0.859012305454352,1,3,0,0,1,1031,21
"1672",33,52,0.840115538983829,1,1,1,1,1,624,22
"1673",33,53,0.889937466463605,1,3,0,0,1,724,23
"1674",33,54,0.790494576467285,1,1,1,1,1,744,24
"1675",33,55,0.662428725900867,1,2,0,0,1,1288,25
"1676",33,56,0.610965305979271,1,1,1,1,1,762,26
"1677",33,57,0.6725933165379,1,3,0,0,1,710,27
"1678",33,58,0.514048950652565,1,2,0,0,1,1045,28
"1679",33,59,0.495587781358253,1,3,1,0,-1,734,27
"1680",33,60,0.413773751295807,-1,2,1,0,-1,1080,26
"1681",34,1,0.485813844762743,-1,1,1,1,1,1142,-4
"1682",34,2,0.538437254226045,1,2,0,1,-1,2032,-5
"1683",34,3,0.471985443603339,1,3,0,1,-1,1097,-6
"1684",34,4,0.473426852427009,-1,2,0,1,-1,1467,-7
"1685",34,5,0.479294869599757,1,1,0,1,-1,823,-8
"1686",34,6,0.563943953140572,-1,3,0,0,1,673,-7
"1687",34,7,0.481327472579457,-1,1,1,1,1,1833,-6
"1688",34,8,0.481768749433575,1,3,0,1,-1,3912,-7
"1689",34,9,0.450010044756107,1,2,0,1,-1,1706,-8
"1690",34,10,0.486967439771764,-1,3,0,1,-1,392,-9
"1691",34,11,0.510690688107573,-1,1,1,0,-1,3630,-10
"1692",34,12,0.649815541510555,-1,2,1,1,1,3705,-9
"1693",34,13,0.687370995795919,-1,1,1,0,-1,1638,-10
"1694",34,14,0.689169474396233,1,2,0,1,-1,456,-11
"1695",34,15,0.696986225524106,-1,3,0,1,-1,504,-12
"1696",34,16,0.715539845511147,-1,2,0,1,-1,1856,-13
"1697",34,17,0.667862662180355,1,1,1,1,1,106,-12
"1698",34,18,0.766605332834015,1,3,0,1,-1,286,-13
"1699",34,19,0.646923682518173,-1,1,1,1,1,551,-12
"1700",34,20,0.542167749415836,1,3,0,1,-1,135,-13
"1701",34,21,0.751429709573212,1,2,0,1,-1,225,-14
"1702",34,22,0.76095294935183,NA,3,NA,NA,NA,NA,-14
