"","SubID","trial_num","pUP","stock_outcome","Advisor","Advice","AdvisorCorrect","choice","outcome","rt","tally"
"1372",28,52,0.287559276907862,1,2,1,1,1,1,1955,12
"1373",28,53,0.241561514623385,1,1,1,1,1,1,2005,13
"1374",28,54,0.197225359231558,-1,2,1,0,1,-1,1652,12
"1375",28,55,0.136848585259585,1,3,-1,0,0,-1,1871,11
"1376",28,56,0.111486402582301,-1,2,1,0,1,-1,2018,10
"1377",28,57,0.101533544340643,-1,1,-1,1,1,-1,2053,9
"1378",28,58,0.115829157947814,-1,3,1,0,1,-1,4722,8
"1379",28,59,0.144664852465595,-1,1,-1,1,1,-1,2225,7
"1380",28,60,0.174513131613155,1,3,-1,0,0,-1,2057,6
"1381",29,1,0.436322684831848,1,2,1,1,1,1,3772,18
"1382",29,2,0.449692973040773,1,3,-1,0,1,1,1774,19
"1383",29,3,0.530403243801728,1,1,1,1,1,1,3460,20
"1384",29,4,0.605164939402611,1,3,-1,0,1,1,2538,21
"1385",29,5,0.606637853470824,1,2,-1,0,1,1,1699,22
"1386",29,6,0.597740839540335,1,1,-1,0,0,-1,2142,21
"1387",29,7,0.524606434311078,-1,2,-1,1,1,-1,4875,20
"1388",29,8,0.509078730958924,-1,1,-1,1,0,1,2822,21
"1389",29,9,0.476772943875142,-1,3,1,0,1,-1,2560,20
"1390",29,10,0.462153868897978,1,1,1,1,1,1,1584,21
"1391",29,11,0.534183170798986,1,2,1,1,1,1,1943,22
"1392",29,12,0.519590519486633,1,3,1,1,1,1,2672,23
"1393",29,13,0.541580778554103,NA,2,NA,NA,NA,NA,NA,23
"1394",29,14,0.488358881507894,-1,3,1,0,1,-1,2260,22
"1395",29,15,0.531789319255061,1,1,-1,0,0,-1,1954,21
"1396",29,16,0.59091593374163,-1,3,-1,1,1,-1,1690,20
"1397",29,17,0.546960203588178,1,2,1,1,0,-1,1631,19
"1398",29,18,0.540876384269317,1,1,1,1,1,1,4244,20
"1399",29,19,0.496277515460176,1,2,1,1,1,1,1838,21
"1400",29,20,0.446374581231278,-1,1,-1,1,0,1,2117,22
"1401",29,21,0.411710990904508,-1,1,1,0,1,-1,1743,21
"1402",29,22,0.403463179330704,-1,2,1,0,0,1,3543,22
"1403",29,23,0.464491743142747,1,3,1,1,0,-1,1851,21
"1404",29,24,0.52709716865358,-1,2,1,0,1,-1,1948,20
"1405",29,25,0.443439289576643,-1,1,-1,1,1,-1,2143,19
"1406",29,26,0.453562579751308,1,3,-1,0,0,-1,2152,18
"1407",29,27,0.539208427361701,1,1,1,1,1,1,1795,19
"1408",29,28,0.570016416126058,-1,3,-1,1,1,-1,1705,18
