"","SubID","trial_num","pUP","stock_outcome","choice","outcome","rt","tally"
"896",30,32,0.214204518240504,1,0,-1,753,0
"897",30,33,0.196718428727414,-1,1,-1,335,-1
"898",30,34,0.124248456590341,-1,1,-1,2175,-2
"899",30,35,0.118634069067036,-1,1,-1,72,-3
"900",30,36,0.134493474337688,-1,0,1,266,-2
"901",31,1,0.469677793746814,NA,NA,NA,NA,NA
"902",31,2,0.477099793061281,-1,0,1,1064,1
"903",31,3,0.578918374479623,-1,0,1,1695,2
"904",31,4,0.632083305737348,1,0,-1,561,1
"905",31,5,0.724031947376985,1,1,1,658,2
"906",31,6,0.696331642544591,1,1,1,293,3
"907",31,7,0.718878640297511,1,1,1,326,4
"908",31,8,0.708277949242028,1,1,1,353,5
"909",31,9,0.624393243835827,1,1,1,268,6
"910",31,10,0.665254913765315,-1,1,-1,303,5
"911",31,11,0.645835345046116,1,0,-1,348,4
"912",31,12,0.811836334479136,1,1,1,417,5
"913",31,13,0.811484777159155,1,1,1,380,6
"914",31,14,0.749959504134659,1,1,1,436,7
"915",31,15,0.664176878804309,-1,1,-1,364,6
"916",31,16,0.618352525935655,1,1,1,454,7
"917",31,17,0.59790258611614,-1,1,-1,399,6
"918",31,18,0.434349782857518,1,0,-1,270,5
"919",31,19,0.489912917751063,1,1,1,469,6
"920",31,20,0.443532934513768,1,1,1,451,7
"921",31,21,0.477195429506077,-1,1,-1,297,6
"922",31,22,0.365052870005986,1,1,1,939,7
"923",31,23,0.388299459837428,1,0,-1,295,6
"924",31,24,0.38951534877489,-1,0,1,143,7
"925",31,25,0.46172037933787,-1,1,-1,338,6
"926",31,26,0.321287063181831,-1,0,1,427,7
"927",31,27,0.211301277771231,-1,0,1,293,8
"928",31,28,0.181975139799363,-1,0,1,259,9
"929",31,29,0.107825543943228,1,0,-1,264,8
"930",31,30,0.319868332630014,-1,0,1,307,9
"931",31,31,0.177863754949706,1,0,-1,878,8
"932",31,32,0.138940232692608,-1,1,-1,1166,7
"933",31,33,0.16209178897546,-1,1,-1,520,6
"934",31,34,0.200137877095672,-1,0,1,639,7
"935",31,35,0.244407628217187,-1,0,1,735,8
"936",31,36,0.247075086125584,1,0,-1,319,7
"937",32,1,0.511100159159365,-1,1,-1,2337,-1
"938",32,2,0.645335564561047,1,0,-1,757,-2
"939",32,3,0.437358592561895,1,1,1,911,-1
"940",32,4,0.507392072998786,1,1,1,1843,0
