,SubID,trial_num,pUP,stock_outcome,Advisor,AdvisorCorrect,choice,outcome,rt,tally
105,2,45,0.308843773,-1,3,0,0,1,736,19
106,2,46,0.408411307,-1,2,1,0,-1,904,18
107,2,47,0.313636368,-1,3,0,0,1,712,19
108,2,48,0.279271389,-1,2,0,0,1,1634,20
109,2,49,0.323781828,-1,1,1,1,1,744,21
110,2,50,0.375155161,-1,2,1,1,1,1688,22
111,2,51,0.362875893,1,3,0,0,1,896,23
112,2,52,0.404462604,-1,1,0,1,-1,641,22
113,2,53,0.480750027,1,3,1,0,-1,696,21
114,2,54,0.409551825,-1,1,1,1,1,665,22
115,2,55,0.407868072,-1,2,1,0,-1,984,21
116,2,56,0.35589211,1,1,1,1,1,625,22
117,2,57,0.417537815,1,3,0,0,1,840,23
118,2,58,0.396692073,-1,2,0,0,1,1281,24
119,2,59,0.422009084,-1,3,1,0,-1,735,23
120,2,60,0.463926749,1,2,1,1,1,1224,24
121,3,1,0.575569853,1,1,0,1,-1,1760,0
122,3,2,0.637270266,-1,2,1,1,1,1161,1
123,3,3,0.709174295,1,3,0,0,1,877,2
124,3,4,0.605532477,1,2,1,1,1,1045,3
125,3,5,0.661764299,-1,1,1,1,1,718,4
126,3,6,0.671388442,-1,3,1,0,-1,702,3
127,3,7,0.723100222,-1,1,1,1,1,638,4
128,3,8,0.82858468,1,3,0,0,1,1519,5
129,3,9,0.836460198,1,2,0,1,-1,567,4
130,3,10,0.835692813,-1,3,0,0,1,2215,5
131,3,11,0.711358898,1,1,1,1,1,489,6
132,3,12,0.65790269,1,2,1,1,1,651,7
133,3,13,0.532787433,-1,1,0,1,-1,712,6
134,3,14,0.492214347,-1,2,0,1,-1,518,5
135,3,15,0.510926211,-1,3,0,0,1,593,6
136,3,16,0.583948975,1,2,1,1,1,639,7
137,3,17,0.467300017,1,1,0,1,-1,515,6
138,3,18,0.440486465,-1,3,0,0,1,760,7
139,3,19,0.504207728,1,1,1,1,1,901,8
140,3,20,0.520993381,1,3,0,0,1,999,9
141,3,21,0.459299926,-1,3,0,1,-1,1950,8
142,3,22,0.592885947,1,1,1,1,1,1376,9
143,3,23,0.612988765,-1,2,0,1,-1,1255,8
144,3,24,0.473665466,1,1,0,1,-1,1208,7
145,3,25,0.487956099,-1,3,1,0,-1,2348,6
146,3,26,0.613469306,1,2,1,1,1,1205,7
147,3,27,0.604891063,1,3,0,0,1,1244,8
148,3,28,0.688300729,-1,2,0,1,-1,1584,7
149,3,29,0.627311069,1,1,1,1,1,1459,8
150,3,30,0.706901956,1,2,0,1,-1,1325,7
151,3,31,0.636901756,1,3,0,0,1,1139,8
152,3,32,0.528549587,-1,1,1,1,1,1182,9
153,3,33,0.505924359,-1,3,0,0,1,1645,10
154,3,34,0.443236984,-1,1,0,1,-1,1571,9
155,3,35,0.30550134,-1,2,0,1,-1,1194,8
156,3,36,0.350832024,-1,1,1,1,1,1128,9
157,3,37,0.339890642,-1,3,0,0,1,1801,10
158,3,38,0.245798408,-1,2,0,1,-1,388,9
159,3,39,0.273999176,1,3,1,0,-1,1542,8
160,3,40,0.181726028,1,2,0,1,-1,355,7
161,3,41,0.207986635,-1,2,1,1,1,855,8
162,3,42,0.207218206,1,3,0,0,1,1426,9
